;A1;;A2;;B1;;B2;;C;;D;
;2;3;2;3;2;3;2;3;2;3;2;3
Seções nominais mm²;1014;908;923;826;1332;1173;1088;957;1515;1237;916;767
1000;885;792;805;721;1158;1020;952;837;1311;1074;811;679
800;765;685;696;623;998;879;825;725;1122;923;711;596
630;664;595;604;541;864;760;718;631;966;797;627;525
500;579;519;527;472;751;661;628;552;835;692;555;464
400;486;435;442;396;628;553;529;465;693;576;474;396
300;424;380;386;346;546;481;462;407;599;500;419;351
240;362;324;329;295;464;408;395;348;506;424;363;304
185;318;285;290;259;407;358;349;307;441;371;324;271
150;278;249;253;227;354;312;305;268;382;322;287;240
120;241;216;220;197;306;269;265;233;328;278;252;211
95;200;179;183;164;253;222;221;194;269;229;213;178
70;158;141;145;130;198;175;175;154;209;179;173;144
50;131;117;121;109;164;144;146;128;171;147;146;122
35;106;95;99;89;133;117;119;105;138;119;121;101
25;81;73;76;68;100;88;91;80;107;96;95;79
16;61;54;57;51;75;66;69;60;80;71;73;61
10;45;40;42;38;54;48;51;44;58;52;56;46
6;35;31;33;30;42;37;40;35;45;40;44;37
4;26;23;25;22;31;28;30;26;33;30;34;29
2,5;19;17;18,5;16,5;23;20;22;19,5;24;22;26;22
1,5;15;13;14;13;18;16;17;15;19;17;21;17
1;12;11;12;11;15;13;15;13;16;14;18;15
0,75;10;9;10;9;12;10;11;10;12;11;14;12
